diagnosis_DSM5,description
D5_17.07.06,Uitgebreide of beperkte neurocognitieve stoornis door prionziekte
D5_17.07.06.01,Uitgebreide neurocognitieve stoornis door prionziekte
D5_17.07.06.01.01,Uitgebreide neurocognitieve stoornis door prionziekte: met gedragsstoornissen
D5_17.07.06.01.02,Uitgebreide neurocognitieve stoornis door prionziekte: zonder gedragsstoornissen
D5_17.07.06.02,Beperkte neurocognitieve stoornis door prionziekte
D5_17.07.06.02.01,Beperkte neurocognitieve stoornis door prionziekte: met gedragsstoornissen
D5_17.07.06.02.02,Beperkte neurocognitieve stoornis door prionziekte: zonder gedragsstoornissen
D5_17.07.07,Uitgebreide of beperkte neurocognitieve stoornis door de ziekte van Parkinson
D5_17.07.07.01,Uitgebreide neurocognitieve stoornis door de ziekte van Parkinson
D5_17.07.07.01.01,Uitgebreide neurocognitieve stoornis mogelijk of waarschijnlijk door de ziekte van Parkinson: met gedragsstoornissen
D5_17.07.07.01.02,Uitgebreide neurocognitieve stoornis mogelijk of waarschijnlijk door de ziekte van Parkinson: zonder gedragsstoornissen
D5_17.07.07.02,Beperkte neurocognitieve stoornis door de ziekte van Parkinson
D5_17.07.07.02.01,Beperkte neurocognitieve stoornis door de ziekte van Parkinson: met gedragsstoornissen
D5_17.07.07.02.02,Beperkte neurocognitieve stoornis door de ziekte van Parkinson: zonder gedragsstoornissen
D5_17.07.08,Uitgebreide of beperkte neurocognitieve stoornis door de ziekte van Huntington
D5_17.07.08.01,Uitgebreide neurocognitieve stoornis door de ziekte van Huntington
D5_17.07.08.01.01,Uitgebreide neurocognitieve stoornis door de ziekte van Huntington: met gedragsstoornissen
D5_17.07.08.01.02,Uitgebreide neurocognitieve stoornis door de ziekte van Huntington: zonder gedragsstoornissen
D5_17.07.08.02,Beperkte neurocognitieve stoornis door de ziekte van Huntington
D5_17.07.08.02.01,Beperkte neurocognitieve stoornis door de ziekte van Huntington: met gedragsstoornissen
D5_17.07.08.02.02,Beperkte neurocognitieve stoornis door de ziekte van Huntington: zonder gedragsstoornissen
D5_17.07.09,Uitgebreide of beperkte neurocognitieve stoornis door de ziekte een andere somatische aandoening
D5_17.07.09.01,Uitgebreide neurocognitieve stoornis door de ziekte een andere somatische aandoening
D5_17.07.09.01.01,Uitgebreide neurocognitieve stoornis door een andere somatische aandoening: met gedragsstoornissen
D5_17.07.09.01.02,Uitgebreide neurocognitieve stoornis door een andere somatische aandoening: zonder gedragsstoornissen
D5_17.07.09.02,Beperkte neurocognitieve stoornis door de ziekte een andere somatische aandoening
D5_17.07.09.02.01,Beperkte neurocognitieve stoornis door een andere somatische aandoening: met gedragsstoornissen
D5_17.07.09.02.02,Beperkte neurocognitieve stoornis door een andere somatische aandoening: zonder gedragsstoornissen
D5_17.07.10,Uitgebreide of beperkte neurocognitieve stoornis door multipele oorzaken
D5_17.07.10.01,Uitgebreide neurocognitieve stoornis door multipele oorzaken
D5_17.07.10.01.01,Uitgebreide neurocognitieve stoornis door multipele oorzaken: met gedragsstoornissen
